id,Sexo,ingresos,PromVisit,Edad,Sauna,Masaje,Hidro,Yoga
Webster Ivashnikov,0,1620.76,6.96,37,0,0,0,1
Lothaire Madre,0,1969.08,5.73,45,0,1,0,1
Adriano Bellison,0,1874.17,2.44,55,1,1,0,0
Jimmie Akker,0,2620.52,1.65,51,0,0,0,1
Harlie McLaggan,0,2147.40,6.12,26,0,0,1,0
Austen Shrimplin,0,1097.77,1.98,32,1,1,0,0
Davon Ebbs,1,698.54,5.92,41,0,1,0,0
Laura Baston,0,1525.81,5.50,64,0,0,0,1
Sharai Trail,0,1085.14,2.28,57,1,1,0,1
Julius Battell,0,275.38,6.69,48,0,1,1,1
Brina Maidstone,0,278.37,3.30,53,0,1,0,1
Lavena Francisco,0,981.95,2.05,40,0,0,0,0
Shayla Minihan,0,2504.73,5.69,61,0,0,0,1
Winna Conklin,1,1992.07,6.77,49,0,0,1,0
Fredrika Lawrenceson,0,2199.04,1.59,39,0,0,0,0
Lyndsey Izhakov,1,2910.28,5.90,25,0,1,0,1
Gardie Pottell,0,2702.62,1.36,40,0,1,0,0
Lindsy Guidini,0,2465.22,4.97,42,0,1,0,0
Domini Labusquiere,0,1526.91,6.45,43,0,0,0,0
Barbaraanne Diben,1,672.52,5.03,47,1,0,0,1
Harri Haps,0,1763.83,2.43,44,1,1,1,0
Diandra Youde,0,1676.96,1.81,60,0,0,0,1
Lynna Keningley,0,1509.03,4.36,53,0,0,1,0
Myca Tennet,0,1040.92,1.29,44,0,0,0,1
Haslett Royan,0,2366.51,6.00,58,1,0,0,1
Chad Jeal,1,2973.65,5.41,44,0,1,0,1
Josefina Deller,0,2158.41,1.61,26,1,0,0,0
Ad Peebles,0,1209.85,6.43,64,0,1,0,1
Sheree Prendeguest,0,2725.46,1.18,43,0,0,0,0
Jennilee Bambury,0,290.19,3.42,39,0,1,1,0
Jakob Mc Carrick,0,401.17,1.77,40,0,0,1,1
Francklin Druce,0,1250.42,3.04,27,0,1,1,1
Neal Le feaver,0,1061.39,2.47,49,0,0,0,0
Rozella Redman,0,2965.06,5.60,28,0,1,1,1
Isobel Ionnisian,0,1080.17,5.68,42,1,0,0,1
Fidelia MacMorland,1,1117.53,3.55,52,0,1,0,0
Giselbert Batterbee,0,727.72,4.01,38,0,0,1,0
Olive Greasty,0,628.74,2.98,44,0,1,0,1
Rikki Dodgshun,0,724.57,4.95,50,0,1,0,1
El Murfett,0,1152.58,4.06,41,1,1,0,1
Fiorenze Larratt,0,929.93,3.00,27,1,0,1,1
Inesita Somersett,0,425.91,1.90,60,0,0,0,1
Cathy Tilliards,0,1357.75,4.45,36,1,0,0,1
Editha Saddington,0,2623.06,2.53,26,1,1,0,0
Susanne Rymell,1,790.31,1.32,58,0,1,0,0
Sully Howchin,1,1921.45,5.21,23,0,0,0,1
Balduin Alcock,0,1755.42,2.05,24,0,0,0,0
Candra Fydo,0,1273.46,3.48,36,1,1,0,0
Dinah Madrell,1,813.86,1.53,51,0,0,0,0
Silvano Revely,1,1984.97,1.24,49,0,1,0,1
Lammond Yurov,0,794.05,6.77,31,1,1,0,0
Benedetto Croker,1,2164.23,5.07,62,1,1,0,1
Nada Lammers,0,1884.81,3.86,40,0,0,0,1
Marna Winspeare,0,296.19,1.88,54,0,0,0,1
Bird Traut,0,2479.27,3.85,39,1,1,0,1
Ludovico Padrick,1,1579.57,5.63,37,1,1,0,1
Breena Wellbank,0,1719.65,7.00,28,0,0,0,1
Taber Stainland,0,1658.18,2.17,39,0,0,1,1
Lazarus Hubery,0,449.70,5.79,41,0,0,0,1
Ronica Jermy,0,1592.90,2.62,35,0,1,0,0
Pepito Brumham,0,1393.59,6.72,62,1,0,0,0
Doroteya Rookeby,0,597.67,1.61,22,1,1,1,1
Donall Grogan,0,1101.26,6.51,56,0,1,0,0
Terence Whissell,0,1536.65,1.62,46,1,0,1,1
Genevieve Helwig,0,1264.15,2.25,59,0,1,0,0
Anstice Drache,0,2916.96,2.57,49,1,1,1,1
Wade Crowne,0,2383.57,3.10,40,0,1,0,0
Fredericka Schroeder,0,894.48,6.50,52,0,0,0,1
Joella Abys,0,2755.22,6.75,22,0,0,0,1
Thorn Targe,1,1391.73,3.83,35,0,1,0,1
Marion Lineker,0,2180.40,3.63,23,0,1,0,1
Katheryn Dungee,1,856.52,1.98,59,0,0,0,0
Norby Rawle,0,2907.82,2.17,21,0,1,0,1
Eleonora Garlant,0,2502.88,5.89,46,0,1,0,1
Brigit Prescote,0,1385.24,3.46,31,0,1,0,0
Mauricio Gresch,1,1678.92,5.02,59,0,0,0,1
Almeria O'Kielt,0,647.64,2.95,48,0,0,0,0
Kettie Ranscomb,0,2930.90,6.24,58,0,1,0,0
Quent Solomonides,0,1615.45,5.14,49,0,0,1,1
Lonna Sired,1,1891.88,2.66,25,0,0,0,0
Bertrando Ellicombe,0,2991.34,1.15,53,0,1,1,1
Hannie Grimwade,0,1173.50,5.52,47,0,1,0,0
Marchelle Withrop,0,663.27,1.27,22,1,1,1,1
Henrie Kezor,0,2804.27,2.35,47,0,0,0,1
Renault Lodewick,0,2370.46,4.51,58,0,1,1,0
Olivier Buzine,0,1788.62,6.93,54,1,1,0,0
Vivianna Bielfelt,0,1509.69,3.35,53,0,1,0,1
Trent Dirr,0,331.34,5.89,46,0,1,0,1
Levon Bannon,0,2684.38,2.23,58,0,1,1,0
Ray Duquesnay,0,1650.20,1.14,65,0,0,0,1
Graehme Totman,0,1016.21,1.86,21,0,0,0,1
Zacharie Setchfield,0,726.47,1.81,37,0,0,0,1
Robinia Hinrich,0,1285.23,6.89,26,0,1,0,0
Karen Patrone,0,1139.79,2.02,51,0,1,0,0
Rhiamon Trethowan,0,1738.69,6.27,41,0,1,1,1
Lucky Pashler,0,1137.33,4.67,44,1,0,1,1
Ysabel Haste,0,1891.06,1.73,45,0,1,0,0
Kaylee Matantsev,0,1738.65,1.40,32,0,1,0,1
Renaud Broadnicke,0,872.01,2.46,22,0,1,1,1
Diana Armour,1,2014.23,5.85,24,0,0,0,1
Verena Tregoning,0,269.86,2.17,22,0,0,0,0
Maura Rayworth,1,2149.50,1.02,54,0,1,1,0
Nevins Devany,0,1454.02,3.53,38,0,0,0,1
Kerstin Courteney,1,542.54,2.05,45,0,0,0,0
Selinda Heinonen,0,612.54,5.72,30,0,1,1,0
Hartwell Baylie,0,2941.12,2.06,41,0,1,0,0
Elmo Galvin,1,2945.43,4.55,22,0,0,1,0
Shae Adamov,0,2857.08,6.06,42,0,0,0,1
Ruth Scothorne,0,1517.28,3.13,31,0,0,0,0
Shalna Howorth,0,1255.93,4.95,21,0,0,0,1
Laura Holbie,1,1767.30,1.45,51,0,1,0,0
Bengt Tofano,0,1873.44,6.63,21,0,1,0,0
Candi Coleford,0,259.06,6.89,33,1,1,0,0
Laural Blakesley,0,2228.73,2.43,32,0,1,0,1
Brigitta Knappitt,1,1263.57,6.25,40,0,0,0,1
Christoffer Ryan,1,2677.82,2.37,52,0,1,0,0
Donnie Gretham,0,1536.33,3.76,44,0,0,0,0
Tristan Peyro,0,2283.75,3.44,51,0,0,1,1
Henderson Fazzioli,0,993.89,3.66,33,0,1,0,1
Sorcha Triggs,0,2708.67,1.12,39,0,0,1,1
Wallas Baudin,0,1198.32,3.83,31,0,0,0,0
Eulalie Blanking,0,2925.54,5.39,57,0,1,0,1
Milo Rushforth,0,812.51,4.53,34,0,1,0,0
Gwenneth Wabey,1,2476.43,1.40,21,0,0,0,1
Tommy Matiewe,0,1447.35,3.46,44,0,1,0,1
Kurtis Dinnis,0,907.44,6.07,39,0,0,0,1
Elbertina Plummer,0,2895.48,5.71,60,0,1,0,1
Sela Meins,1,1316.89,4.40,64,0,1,0,1
Karyl Hakewell,1,974.04,5.87,44,0,0,1,0
Gayleen Blissett,0,391.45,3.62,35,1,0,1,0
Charlot Andrieux,0,2406.97,3.33,65,0,0,0,1
Lorinda Sandlin,0,960.14,3.96,21,0,1,0,0
Gladys Cardenas,0,2926.23,1.02,29,0,1,1,1
Jerrie Fairbridge,1,2036.07,6.68,43,0,0,0,1
Yorke Jacob,0,1827.62,4.98,50,0,1,0,0
Sunny Dwine,0,470.84,2.87,54,0,0,0,1
Cullen Edwin,1,1842.01,2.34,44,1,0,0,1
Mellicent Cross,0,362.78,3.00,58,0,0,0,1
Veradis De Mattia,0,2253.15,2.66,45,0,1,0,0
Odie Casford,1,2759.39,6.56,27,0,1,0,1
Maddy Ruvel,0,831.56,1.11,40,0,1,0,1
Marion Cutforth,1,2442.13,2.36,61,0,0,0,0
Jard Offin,1,600.10,4.83,30,0,0,0,0
Rawley Burchnall,0,2405.77,2.94,65,0,1,0,1
Cyndi Dannehl,0,599.17,5.72,61,0,0,0,1
Amabel Halhead,0,1487.82,2.26,26,0,0,0,1
Ondrea Suerz,0,2341.24,5.81,65,0,0,0,1
Charles Giddens,0,801.95,2.44,21,0,0,0,1
Nerita Boothby,0,499.93,4.58,57,1,0,0,1
Thea Frostdick,1,1353.25,5.81,22,0,0,0,0
Sid Sifflett,0,2419.26,2.96,28,0,0,0,1
Fletch Garatty,0,2825.91,6.52,47,0,0,0,0
Winnah Caplis,0,1854.93,4.98,42,0,0,0,1
Kerwinn Barriball,0,2616.26,5.29,35,0,1,0,0
Nancie Barnwall,0,1725.03,1.28,32,0,1,0,1
Hyacinthie Haliburton,0,821.09,5.22,28,0,1,1,1
Arte MacCart,1,1510.68,2.04,35,0,1,1,0
Cornie Truesdale,1,2979.81,5.23,26,1,0,0,1
Linnet Reinbeck,0,2303.69,6.90,30,0,0,1,0
Jess Braycotton,0,944.72,6.69,42,0,0,0,1
Angelle Ewence,0,256.41,3.40,36,0,0,0,0
Tillie Ferneyhough,0,1498.53,5.12,57,1,1,0,1
Ruthie Lorkings,0,2369.43,6.38,59,0,1,0,1
Aura Marten,0,2944.32,3.95,30,1,1,0,1
Cora Deport,0,2199.03,4.36,40,0,0,1,0
Gerry De Souza,1,703.90,2.15,61,0,0,0,1
Tommy Cunnah,0,1059.81,2.39,61,0,0,0,1
Patty Targe,0,1144.53,4.21,28,1,0,1,1
Casey Jacobsson,0,2150.73,3.11,58,0,0,0,1
Cal Rubee,1,1735.38,6.10,24,0,1,1,1
Yorgo Stallworthy,0,1432.11,6.52,22,0,1,0,0
Paco Mathiot,1,251.84,4.81,55,0,0,1,0
Alford Pieroni,1,1155.83,1.59,39,0,1,0,0
Keelia McGruar,0,798.45,4.18,52,0,1,0,1
Arron Tarrant,0,1856.64,6.16,54,1,1,0,0
Garnette Jacobovitch,0,2512.74,3.22,24,0,0,0,0
Abelard Cassin,0,2077.93,6.85,38,1,1,0,1
Rosalinde Edmons,1,1839.25,5.72,56,0,1,1,1
Etheline Wolfenden,1,1157.12,1.22,31,1,1,0,1
Dusty Mariette,0,1784.05,3.24,47,0,1,1,0
Conrad Addey,1,691.35,5.15,49,0,1,0,1
Lacey Farfalameev,0,504.81,1.49,63,1,0,0,1
Leta Haydon,0,283.64,5.75,44,1,0,0,1
Salomon Dechelette,0,761.08,3.35,43,0,1,0,1
Sharona Orkney,0,2839.92,3.18,30,0,0,0,0
Renault Morman,0,449.60,2.10,34,1,0,1,0
Chris Brigstock,0,375.03,1.42,55,0,1,0,0
Saul Cass,1,2856.35,3.57,25,0,0,0,1
Benedicto Nannoni,1,1646.83,4.09,33,0,0,0,0
Leslie Lanaway,0,1791.63,4.29,52,0,1,0,1
Tom Greenstreet,1,2997.11,2.59,44,0,1,0,1
Katuscha Mepham,1,2622.94,2.53,33,0,1,0,0
Talyah Venmore,1,2718.51,1.12,61,0,0,0,0
Lari Richemond,0,1626.72,3.77,37,0,0,0,0
Der Mileham,0,1542.35,2.44,25,0,0,1,1
Ninnette De Micoli,0,358.95,4.91,31,0,1,0,1
Cristen Leese,0,1833.84,5.47,21,1,0,0,0
Florencia Farlowe,0,1216.20,2.41,43,0,0,1,1
Esdras Warkup,0,2620.96,3.76,44,0,1,0,0
Billy Lowrey,0,2445.76,5.05,60,1,0,0,1
Eliot Cavey,1,1781.01,3.95,57,0,1,0,1
Nappie Dine-Hart,0,2302.14,5.00,43,0,0,1,0
Artie Jahner,1,1740.90,1.46,50,0,0,0,1
Rhody Rowbotham,0,1658.30,6.60,24,0,0,0,1
Ermengarde Gemson,0,823.88,1.58,57,0,0,0,1
Alexi Wildman,0,1734.30,3.92,62,0,0,0,1
