id,Rosas,Claveles,Macetas,Tierra,Girasoles,Hortensia,Globos,Tarjetas,fOrquídias,Carmesí,Lirios,Aurora,Tulipanes,Listón
Annora Cockle,1,0,0,0,0,0,0,0,1,0,1,1,1,1
Koenraad Simonazzi,0,0,1,1,1,0,0,0,1,0,0,0,1,0
Bettine De Gogay,0,1,1,0,0,1,1,0,0,1,0,1,0,1
Candra Son,0,1,0,0,0,1,0,1,1,0,0,0,1,0
Rickey Smylie,0,0,0,1,1,0,1,0,1,0,0,1,0,1
Vidovik Scandrite,1,1,0,1,1,1,0,1,1,0,1,1,0,0
Gabby Rawlison,0,1,0,1,1,0,1,0,0,0,0,0,0,0
Avrit Spencer,1,1,1,1,1,1,0,0,1,1,0,0,0,1
Booth Solland,1,1,1,1,1,1,1,1,0,1,1,0,0,0
Sherilyn Scriver,0,0,1,1,0,0,0,0,0,0,1,1,1,0
Jonas Mancktelow,1,1,0,1,0,1,0,0,1,0,1,0,0,1
Maggi Westfalen,1,1,1,1,0,0,1,1,0,1,0,0,1,1
Harbert Luisetti,0,1,0,1,1,0,0,0,0,1,1,0,1,1
Nevins Wickling,1,0,1,0,1,1,0,0,1,1,1,0,0,1
Delmar Stanyer,1,0,0,0,1,1,0,1,0,1,0,1,1,0
Trey Rennix,0,0,0,1,0,0,1,0,1,0,1,1,0,1
Theo Kernley,0,1,1,0,1,1,1,1,1,0,1,1,0,1
Carly Clohisey,0,0,1,1,1,1,0,0,0,0,1,0,1,1
Olivero Colombier,1,1,1,0,0,1,1,1,1,1,1,1,0,0
Dre Birtonshaw,0,1,0,0,1,1,0,0,1,0,1,0,0,1
Max Gorringe,1,1,0,0,0,1,1,0,1,1,1,1,0,1
Merrie McIlwraith,0,1,0,0,1,1,0,0,1,1,1,0,1,0
Currey Stellin,1,1,0,0,1,0,0,1,1,1,0,1,1,1
Vere Kingshott,0,0,1,0,0,1,1,1,1,0,1,0,0,0
Shamus Mustard,0,0,1,1,1,0,1,0,1,0,0,0,1,1
Krystyna Bairnsfather,0,1,1,0,0,0,0,1,0,0,0,1,0,1
Filberto Pendre,0,1,0,1,1,1,1,0,1,0,0,0,1,1
Thane Rammell,0,1,1,1,1,0,1,1,0,0,0,1,1,0
Karol Pledger,1,1,0,0,1,1,1,1,0,1,0,0,1,1
Lishe Eyckelbeck,1,1,0,1,0,1,0,0,0,0,0,1,1,0
Dagny Pounder,0,1,1,0,0,0,1,0,1,1,1,0,1,1
Chrissy Lelliott,1,1,1,0,0,1,1,0,0,0,1,0,0,0
Elsa Charity,1,1,0,0,1,1,0,0,0,1,1,1,0,1
Mireille MacClenan,0,0,1,0,1,1,1,1,1,1,1,0,0,0
Tobin Tytler,1,0,0,1,0,0,0,0,0,0,1,0,1,1
Shepard Ram,1,1,1,1,0,0,0,1,1,0,0,1,1,0
Muriel Izaac,1,0,1,1,1,0,1,1,1,1,1,0,0,0
Rene Colt,1,0,1,0,1,0,1,1,1,1,1,0,0,0
Rosella O'Sharry,1,1,1,0,0,1,1,1,1,0,1,1,1,0
Saunders Beardow,0,0,1,1,1,0,1,0,1,1,0,0,1,1
Leena Creech,0,0,0,1,1,0,1,0,0,1,1,0,1,0
Wat Golds,1,0,1,1,0,0,1,1,0,1,0,1,0,0
Kaiser Markwell,1,0,1,1,0,0,1,0,1,0,1,0,1,0
Jan Gussie,1,1,0,0,0,0,0,0,0,0,1,0,1,0
Archy MacAdam,0,1,1,0,1,0,1,1,1,0,1,1,0,0
Krystle Hrinchenko,1,1,1,1,0,0,0,1,0,0,0,1,0,0
Myrle Bartolini,0,1,0,1,1,0,1,0,1,1,0,1,0,1
Rebecca Douberday,1,1,0,1,1,0,0,0,1,1,1,1,0,1
Sarah Briscam,1,1,1,1,1,1,0,0,0,0,1,0,0,0
Mandie Stalf,0,1,0,0,1,1,1,1,0,1,1,0,1,1
Omero Patemore,0,0,1,0,0,0,0,1,1,1,1,1,1,1
Haskell Newbery,1,0,1,0,0,1,1,1,0,1,1,1,0,0
Burnaby Skouling,0,0,1,0,0,1,1,0,1,1,0,1,1,0
Roselin Carrabott,1,1,1,0,1,1,1,0,0,0,0,1,1,0
Ursuline Cardillo,0,0,0,0,1,0,1,1,1,0,0,0,0,0
Christina Faveryear,0,0,1,0,0,1,1,0,0,1,0,0,0,1
Petronia Sydney,0,0,0,1,1,1,1,1,0,0,0,0,1,0
Drew Bartelet,1,0,1,1,1,0,0,1,1,1,0,1,1,0
Delaney Neljes,0,1,1,1,0,0,0,1,0,1,0,0,0,0
Fey Geck,0,0,0,0,1,1,0,0,1,1,1,0,1,0
Sheila-kathryn Muir,0,0,0,0,1,1,0,1,0,0,0,1,0,1
Lyndy Barchrameev,0,0,1,0,0,1,0,0,1,0,1,0,1,1
Sheppard Morriarty,0,0,0,1,1,0,1,0,1,1,0,1,0,1
Jeremiah Janas,1,1,0,0,0,1,0,1,1,0,0,1,0,0
Peadar Wyd,1,0,0,0,0,1,1,0,1,0,0,1,1,0
Olenka Harvett,1,0,0,1,0,1,0,1,0,1,1,1,0,0
Karlee Papworth,1,0,0,0,0,0,0,1,0,1,0,1,0,0
Bert Weson,0,0,0,0,0,1,1,1,0,0,1,0,0,0
Arvin Foro,0,1,1,0,0,1,0,0,1,1,1,1,0,0
Bud Gossington,1,1,1,0,1,1,0,1,0,0,1,0,0,0
Coleen Wodeland,0,0,0,1,1,0,0,0,0,0,1,0,0,0
Vida Ortes,0,0,0,0,0,1,1,1,0,0,1,1,1,0
Jeanna Shearer,1,0,0,1,0,0,1,0,0,0,1,0,1,1
Karola Whyberd,1,0,1,1,1,0,1,0,1,0,1,1,1,1
Valery Rollings,1,0,0,1,0,0,1,0,0,0,0,1,0,0
Carlos Gothrup,0,0,1,1,0,1,0,0,0,1,1,1,0,0
Gauthier Ricardin,0,1,0,1,0,0,0,1,1,0,0,1,1,0
Miles Storton,1,0,0,0,1,1,1,0,0,0,1,1,0,1
Karola Popland,0,1,0,0,1,1,1,0,0,0,0,0,0,0
Betta Tee,1,1,1,1,0,1,1,1,0,0,1,0,1,1
Halie Esom,1,0,1,0,1,1,0,0,0,1,1,1,1,0
Dar Piet,0,1,1,0,0,0,0,0,0,0,1,0,0,1
Ritchie Corkhill,1,0,0,0,0,1,1,0,0,1,0,1,0,1
Quillan Joseff,0,1,1,0,0,0,1,1,1,1,1,0,1,1
Storm Boyett,0,1,1,0,0,1,1,0,1,1,1,1,1,1
Marcy Mandry,1,0,0,1,1,0,0,0,0,1,1,1,1,1
Guillermo Dennant,1,1,1,0,1,1,0,0,0,0,0,1,1,1
Tess Toplin,0,0,0,1,1,1,1,1,1,1,1,0,0,0
Aubrey Frenzl,0,1,0,0,0,1,0,0,1,0,0,1,1,1
Menard Wickins,1,0,0,1,1,1,1,1,0,1,1,0,1,0
Konstantine Soughton,1,1,0,0,0,1,1,1,1,0,0,1,1,1
Nels Dunlap,1,0,0,1,0,0,1,0,0,1,1,0,1,1
Felipa Bertelet,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Farly Armfirld,1,1,0,0,0,1,1,1,0,1,1,0,0,0
Charlot Stonner,1,0,0,1,1,0,1,0,0,0,0,0,1,1
Dorotea Nunnerley,1,0,1,0,0,0,1,0,1,1,0,1,0,1
Elke Mongeot,0,1,0,0,0,0,0,0,1,0,1,1,1,1
Arron Lagne,1,1,1,1,1,0,0,0,0,1,1,1,1,1
Ermentrude Ottery,1,0,0,1,0,0,1,1,1,1,1,0,1,0
Dylan Mosdall,1,1,0,1,1,1,0,1,0,0,1,0,0,1
Cam Cheng,0,1,0,1,0,1,1,0,1,1,0,1,1,1
Doralin Wilacot,1,1,0,0,1,0,1,0,0,0,1,0,0,1
Buiron Kitchenside,0,1,0,1,1,0,1,1,1,1,1,0,0,0
Garrott Bethel,1,0,1,1,1,1,0,0,0,1,0,1,1,0
Jilleen Smithend,1,1,0,0,0,0,1,1,1,1,1,1,1,1
Aloisia Scotchbrook,0,1,1,1,0,0,0,0,0,0,1,1,0,1
Modesta Bleeze,0,0,1,0,1,1,0,0,0,1,0,0,1,1
Burt McCleod,1,1,0,0,0,0,1,1,1,0,0,0,0,1
Sabra Mitkin,0,0,0,1,1,0,1,0,0,1,0,1,1,1
Welch Patullo,0,0,0,1,1,1,0,1,1,1,1,1,0,0
Karlotta Washtell,0,1,0,0,1,0,0,1,1,1,1,0,0,1
Chanda Dmitr,0,1,1,1,0,1,1,0,1,0,1,0,1,1
Genevieve Zannotelli,0,0,0,0,1,1,1,1,0,1,0,1,0,1
Morton Zanitti,1,0,1,1,1,1,1,1,1,1,0,1,0,1
Inessa Minster,0,0,0,0,0,1,1,0,1,1,1,0,1,0
Gabbey Doogue,1,0,0,0,0,1,1,1,0,0,1,0,0,1
Tedda McKniely,1,0,1,1,0,0,0,0,1,1,1,0,1,0
Scarlett Lithgow,0,0,1,1,0,0,0,0,1,0,0,1,0,0
Hunfredo Stonhouse,1,0,1,0,0,1,0,1,1,1,0,1,1,0
Pepito Lissenden,1,0,0,1,1,1,1,0,0,1,0,0,0,1
Bride Eskriett,0,1,0,0,1,1,0,1,1,0,1,1,0,1
Quincey O'Doghesty,1,0,0,0,1,0,1,0,1,0,0,1,0,0
Otis Jaime,1,0,0,0,1,1,0,1,0,0,0,0,0,0
Irene Herety,1,0,1,0,1,0,0,0,1,1,1,0,0,1
Raynell Clarridge,0,1,0,1,0,0,0,1,1,1,1,1,1,0
Bjorn Mowle,0,0,1,1,1,1,0,0,0,0,0,1,1,1
Linc Sholl,1,1,0,0,1,1,0,0,0,0,0,1,0,1
Dall Gaylor,0,1,1,0,0,1,1,0,0,0,1,1,1,0
Oby Ansley,0,1,1,0,1,1,1,0,0,0,0,1,0,1
Maurie Gever,1,0,1,0,0,1,1,1,1,0,1,1,0,0
Lanita Albertson,1,0,1,0,1,0,1,0,1,0,1,1,1,1
Rebekkah McAnalley,1,0,1,1,0,0,0,1,0,1,1,1,1,1
Loren Caldaro,0,1,1,1,1,1,1,0,0,1,0,1,1,0
